"Alarm Name","Alarm Type","Alarm Source Node","Card/Board Location","Impacted Link","Impacted NE"
"POWER_ABNORMAL","NE BASED","BAR_X0091_NE_1","9-PIU","","BAR_X0091_NE_1"
"AM_DOWNSHIFT","LINK BASED","DHK_G4620_NE_1","7-ISM6","DHK_G4620_NE_1-DHK_X2669_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0151_NE_1","14-ISV3","BAR_X0151_NE_1-BAR_G0281_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0149_NE_1","8-ISV3","BAR_X0149_NE_1-BAR_X0144_NE_1",""
"AM_DOWNSHIFT","LINK BASED","SYL_X0244_NE_2","4-ISV3","SYL_X0244_NE_2-SYL_X0456_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0426_NE_1","4-ISV3","CTG_X0426_NE_1-CTG_X0480_NE_2",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0316_NE_2","4-ISV3","RAJ_X0316_NE_2-RAJ_X0621_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0118_NE_1","3-ISV3","CTG_X0118_NE_1-CTG_X0603_NE_2",""
"AM_DOWNSHIFT","LINK BASED","RB03_NE_2","11-ISV3","RB03_NE_2-RAJ_X9002_NE_1",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0174_NE_1","1-ISV3","BAR_X0174_NE_1-BAR_R0404_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0099_NE_1","3-ISV3","RAJ_X0099_NE_1-RAJ_X9003_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RB03_NE_1","13-ISV3","RB03_NE_1-RAJ_X0182_NE_1",""
"MW_BER_SD","LINK BASED","CTG_X1543_NE_2","3-ISV3","CTG_X1543_NE_2-CTG_X0239_NE_2",""
"AM_DOWNSHIFT","LINK BASED","BAR_X0409_NE_1","4-ISV3","BAR_X0409_NE_1-BAR_X0061_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_X9002_NE_1","7-ISV3","CTG_X9002_NE_1-CTG_W1036_NE_1",""
"MAC_EXT_EXC","LINK BASED","CTG_X0480_NE_1","17-EG6","CTG_X0480_NE_1-CTG_X0480_NE_2",""
"AM_DOWNSHIFT","LINK BASED","CTG_X0749_NE_1","3-ISV3","CTG_X0749_NE_1-CTG_W0102_NE_1",""
"MAC_FCS_EXC","LINK BASED","CTG_X0480_NE_1","17-EG6","CTG_X0480_NE_1-CTG_X0480_NE_2",""
"AM_DOWNSHIFT","LINK BASED","SYL_X0242_NE_2","4-ISV3","SYL_X0242_NE_2-SYL_X0028_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0068_NE_3","7-ISV3","RAJ_X0068_NE_3-RAJ_X0471_NE_1",""
"MW_RDI","LINK BASED","RAJ_G0518_NE_1","5-ISV3","RAJ_G0518_NE_1-RAJ_X0087_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_G0518_NE_1","5-ISV3","RAJ_G0518_NE_1-RAJ_X0087_NE_1",""
"AM_DOWNSHIFT","LINK BASED","RAJ_X0087_NE_1","6-ISV3","RAJ_X0087_NE_1-RAJ_G0518_NE_1",""
"MW_LOF","LINK BASED","RAJ_X0087_NE_1","6-ISV3","RAJ_X0087_NE_1-RAJ_G0518_NE_1",""
"AM_DOWNSHIFT","LINK BASED","CTG_W0102_NE_1","3-ISV3","CTG_W0102_NE_1-CTG_X0749_NE_1",""
